순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
11,최채흥,20삼, 3.35 , 26 , 1 , 1 , 26 , 11 , 6 , 0 , 0 , 146.0 , 67 , 58 , 617 , 131 , 27 , 1 , 12 , 51 , 0 , 7 , 123 , 3 , 3 , 3.58 , 4.13 , 1.25 , 137.2 , 117.7 , 1.32 
12,데스파이네,20K, 3.21 , 35 , 0 , 0 , 34 , 15 , 8 , 0 , 0 , 207.2 , 105 , 100 , 906 , 233 , 36 , 1 , 18 , 68 , 1 , 8 , 152 , 0 , 18 , 4.33 , 4.30 , 1.45 , 110.9 , 110.7 , 0.38 
13,최원준,20두, 3.08 , 42 , 0 , 0 , 18 , 10 , 2 , 0 , 0 , 123.0 , 52 , 52 , 532 , 134 , 23 , 3 , 15 , 35 , 0 , 7 , 94 , 1 , 2 , 3.80 , 4.64 , 1.37 , 121.8 , 99.0 , 0.80 
14,조상우,20키, 2.98 , 53 , 0 , 0 , 0 , 5 , 3 , 33 , 0 , 54.1 , 15 , 13 , 232 , 50 , 5 , 0 , 3 , 18 , 2 , 2 , 64 , 0 , 1 , 2.15 , 2.91 , 1.25 , 219.1 , 159.0 , 1.61 
15,가뇽,20K, 2.84 , 28 , 0 , 0 , 28 , 11 , 8 , 0 , 0 , 159.2 , 86 , 77 , 702 , 162 , 33 , 8 , 7 , 64 , 0 , 9 , 141 , 0 , 13 , 4.34 , 3.73 , 1.42 , 110.6 , 129.2 , -0.55 
16,라이블리,20삼, 2.68 , 21 , 0 , 0 , 21 , 6 , 7 , 0 , 0 , 112.0 , 54 , 53 , 478 , 98 , 16 , 1 , 11 , 39 , 0 , 12 , 95 , 0 , 2 , 4.26 , 4.50 , 1.22 , 115.2 , 108.2 , -0.19 
17,정우영,20L, 2.67 , 65 , 0 , 0 , 0 , 4 , 4 , 5 , 20 , 75.0 , 26 , 26 , 305 , 48 , 5 , 0 , 3 , 29 , 3 , 11 , 59 , 0 , 1 , 3.12 , 3.98 , 1.03 , 148.3 , 117.5 , 2.14 
18,박준표,20K, 2.66 , 50 , 0 , 0 , 0 , 7 , 1 , 6 , 11 , 51.2 , 16 , 9 , 205 , 41 , 3 , 0 , 3 , 8 , 2 , 0 , 44 , 0 , 2 , 1.57 , 2.96 , 0.95 , 306.2 , 162.2 , 1.35 
19,배제성,20K, 2.65 , 26 , 0 , 0 , 26 , 10 , 7 , 0 , 0 , 141.1 , 67 , 62 , 619 , 130 , 30 , 1 , 12 , 76 , 0 , 4 , 83 , 1 , 11 , 3.95 , 5.18 , 1.46 , 121.7 , 91.8 , 1.09 
20,쿠에바스,20K, 2.64 , 27 , 0 , 0 , 27 , 10 , 8 , 0 , 0 , 158.0 , 80 , 72 , 668 , 152 , 26 , 1 , 16 , 46 , 0 , 9 , 110 , 0 , 4 , 4.10 , 4.52 , 1.25 , 117.1 , 105.1 , -0.29 
21,주권,20K, 2.63 , 77 , 0 , 0 , 0 , 6 , 2 , 0 , 31 , 70.0 , 25 , 21 , 294 , 54 , 11 , 0 , 6 , 32 , 1 , 1 , 37 , 0 , 0 , 2.70 , 4.98 , 1.23 , 177.9 , 95.5 , 1.16 
22,오승환,20삼, 2.62 , 45 , 0 , 0 , 0 , 3 , 2 , 18 , 2 , 47.2 , 14 , 14 , 201 , 44 , 10 , 1 , 2 , 15 , 0 , 2 , 39 , 0 , 1 , 2.64 , 3.53 , 1.24 , 185.6 , 136.4 , 1.82 
23,양현종,20K, 2.52 , 31 , 0 , 0 , 31 , 11 , 10 , 0 , 0 , 172.1 , 99 , 90 , 746 , 180 , 40 , 4 , 13 , 64 , 0 , 5 , 149 , 0 , 7 , 4.70 , 4.01 , 1.42 , 102.1 , 120.1 , -0.98 
24,브리검,20키, 2.40 , 21 , 0 , 0 , 21 , 9 , 5 , 0 , 0 , 107.0 , 45 , 43 , 456 , 98 , 7 , 2 , 6 , 42 , 1 , 5 , 105 , 0 , 8 , 3.62 , 3.61 , 1.31 , 130.5 , 129.1 , 1.08 
25,소형준,20K, 2.37 , 26 , 0 , 0 , 24 , 13 , 6 , 0 , 0 , 133.0 , 63 , 57 , 572 , 141 , 23 , 0 , 6 , 45 , 0 , 6 , 92 , 0 , 2 , 3.86 , 3.91 , 1.40 , 124.6 , 122.0 , 0.30 
26,김민우,20한, 2.31 , 26 , 0 , 0 , 25 , 5 , 10 , 0 , 0 , 132.2 , 72 , 64 , 593 , 121 , 16 , 1 , 15 , 72 , 3 , 7 , 124 , 2 , 10 , 4.34 , 4.88 , 1.46 , 108.9 , 98.2 , -0.68 
27,송명기,20N, 2.31 , 36 , 0 , 0 , 12 , 9 , 3 , 0 , 0 , 87.2 , 37 , 36 , 372 , 78 , 13 , 0 , 12 , 39 , 1 , 2 , 72 , 0 , 7 , 3.70 , 5.06 , 1.34 , 132.2 , 95.9 , 0.10 
28,박민호,20S, 2.29 , 57 , 0 , 0 , 0 , 2 , 1 , 4 , 11 , 52.0 , 16 , 14 , 215 , 43 , 9 , 0 , 4 , 19 , 0 , 2 , 36 , 0 , 0 , 2.42 , 4.38 , 1.19 , 199.1 , 110.8 , -0.61 
29,김재윤,20K, 2.22 , 56 , 0 , 0 , 0 , 5 , 3 , 21 , 1 , 60.2 , 23 , 22 , 256 , 62 , 4 , 2 , 7 , 15 , 3 , 0 , 58 , 0 , 0 , 3.26 , 3.74 , 1.27 , 147.2 , 127.7 , 0.16 
30,윤대경,20한, 2.20 , 55 , 0 , 0 , 0 , 5 , 0 , 0 , 7 , 51.0 , 16 , 9 , 225 , 48 , 7 , 0 , 3 , 25 , 3 , 3 , 42 , 0 , 1 , 1.59 , 4.14 , 1.43 , 297.7 , 115.5 , 0.61 
31,박세웅,20롯, 2.02 , 28 , 0 , 0 , 28 , 8 , 10 , 0 , 0 , 147.1 , 85 , 77 , 658 , 177 , 27 , 2 , 20 , 47 , 0 , 8 , 108 , 0 , 13 , 4.70 , 4.97 , 1.52 , 103.6 , 96.5 , -1.77 
32,이영하,20두, 2.02 , 42 , 0 , 0 , 19 , 5 , 11 , 6 , 0 , 132.0 , 78 , 68 , 605 , 148 , 26 , 1 , 9 , 66 , 3 , 5 , 85 , 1 , 4 , 4.64 , 4.70 , 1.62 , 99.9 , 99.1 , -1.97 
33,라이트,20N, 2.01 , 29 , 0 , 0 , 29 , 11 , 9 , 0 , 0 , 157.2 , 87 , 82 , 696 , 164 , 27 , 2 , 12 , 63 , 0 , 10 , 125 , 2 , 5 , 4.68 , 4.35 , 1.44 , 104.4 , 111.0 , -1.57 
34,강재민,20한, 1.99 , 50 , 0 , 0 , 0 , 1 , 2 , 1 , 14 , 49.0 , 16 , 14 , 203 , 41 , 5 , 0 , 3 , 18 , 1 , 0 , 57 , 1 , 2 , 2.57 , 3.07 , 1.20 , 183.9 , 156.0 , 1.84 
35,구승민,20롯, 1.94 , 57 , 0 , 0 , 0 , 5 , 2 , 0 , 20 , 60.1 , 25 , 24 , 238 , 40 , 9 , 0 , 8 , 26 , 2 , 0 , 58 , 0 , 1 , 3.58 , 4.55 , 1.09 , 136.1 , 105.5 , 0.94 
36,박종훈,20S, 1.90 , 29 , 0 , 0 , 28 , 13 , 11 , 0 , 0 , 157.1 , 90 , 84 , 691 , 146 , 21 , 3 , 14 , 78 , 1 , 22 , 134 , 0 , 5 , 4.81 , 4.90 , 1.42 , 100.4 , 99.5 , -1.54 
37,조현우,20K, 1.79 , 54 , 0 , 0 , 0 , 5 , 1 , 1 , 9 , 46.2 , 16 , 16 , 196 , 38 , 8 , 1 , 1 , 22 , 1 , 1 , 33 , 0 , 3 , 3.09 , 3.83 , 1.29 , 155.7 , 124.7 , 1.06 
38,이민호,20L, 1.79 , 20 , 0 , 0 , 16 , 4 , 4 , 0 , 0 , 97.2 , 46 , 40 , 434 , 94 , 19 , 0 , 5 , 44 , 1 , 10 , 67 , 1 , 4 , 3.69 , 4.48 , 1.41 , 125.6 , 104.4 , 0.54 
39,양현,20키, 1.77 , 58 , 0 , 0 , 1 , 8 , 3 , 2 , 11 , 60.0 , 23 , 22 , 245 , 58 , 9 , 1 , 4 , 17 , 0 , 3 , 33 , 0 , 1 , 3.30 , 4.32 , 1.25 , 143.0 , 108.3 , -0.17 
40,노경은,20롯, 1.70 , 25 , 1 , 0 , 24 , 5 , 10 , 0 , 0 , 133.0 , 76 , 72 , 574 , 139 , 31 , 1 , 19 , 40 , 2 , 3 , 77 , 0 , 3 , 4.87 , 5.18 , 1.35 , 100.0 , 92.7 , -0.54 
41,전상현,20K, 1.61 , 47 , 0 , 0 , 0 , 2 , 2 , 15 , 13 , 47.2 , 21 , 13 , 198 , 35 , 6 , 1 , 4 , 22 , 0 , 0 , 64 , 0 , 2 , 2.45 , 3.35 , 1.20 , 195.5 , 145.0 , 1.87 
42,김원중,20롯, 1.61 , 58 , 0 , 0 , 0 , 5 , 4 , 25 , 0 , 59.1 , 29 , 26 , 249 , 52 , 14 , 1 , 8 , 23 , 5 , 0 , 57 , 0 , 1 , 3.94 , 4.30 , 1.26 , 123.5 , 111.8 , -0.63 
43,이승현,20삼, 1.61 , 65 , 0 , 0 , 0 , 1 , 2 , 0 , 14 , 54.1 , 22 , 21 , 226 , 45 , 7 , 1 , 11 , 25 , 1 , 0 , 52 , 0 , 2 , 3.48 , 5.60 , 1.29 , 141.0 , 88.2 , 0.25 
44,임찬규,20L, 1.51 , 27 , 0 , 0 , 26 , 10 , 9 , 0 , 0 , 147.2 , 76 , 67 , 641 , 143 , 29 , 2 , 14 , 65 , 0 , 5 , 138 , 0 , 4 , 4.08 , 4.34 , 1.41 , 113.3 , 106.3 , -0.22 
45,원태인,20삼, 1.51 , 27 , 0 , 0 , 26 , 6 , 10 , 0 , 0 , 140.0 , 84 , 76 , 626 , 162 , 32 , 1 , 19 , 56 , 2 , 5 , 78 , 0 , 6 , 4.89 , 5.47 , 1.56 , 100.4 , 89.4 , -1.23 
46,정찬헌,20L, 1.50 , 19 , 1 , 1 , 19 , 7 , 4 , 0 , 0 , 110.1 , 51 , 43 , 470 , 116 , 22 , 1 , 10 , 31 , 0 , 4 , 85 , 0 , 5 , 3.51 , 4.15 , 1.33 , 131.9 , 111.4 , 0.66 
47,이보근,20K, 1.48 , 49 , 0 , 0 , 0 , 3 , 1 , 6 , 9 , 46.2 , 17 , 13 , 192 , 42 , 5 , 0 , 2 , 12 , 1 , 2 , 27 , 0 , 3 , 2.51 , 3.79 , 1.16 , 191.6 , 125.8 , 0.04 
48,정해영,20K, 1.47 , 47 , 0 , 0 , 0 , 5 , 3 , 1 , 11 , 37.2 , 15 , 14 , 169 , 40 , 5 , 1 , 2 , 24 , 2 , 2 , 32 , 0 , 7 , 3.35 , 4.46 , 1.70 , 143.5 , 107.5 , -0.66 
49,박치국,20두, 1.46 , 63 , 0 , 0 , 0 , 4 , 4 , 0 , 6 , 71.2 , 34 , 23 , 317 , 65 , 12 , 2 , 5 , 34 , 4 , 5 , 66 , 0 , 1 , 2.89 , 4.09 , 1.38 , 160.4 , 113.5 , -0.27 
50,김진성,20N, 1.46 , 48 , 0 , 0 , 0 , 3 , 0 , 0 , 6 , 47.1 , 16 , 14 , 190 , 41 , 8 , 2 , 4 , 10 , 1 , 0 , 56 , 0 , 2 , 2.66 , 2.86 , 1.08 , 183.5 , 169.7 , 1.13 
51,장시환,20한, 1.40 , 26 , 0 , 0 , 26 , 4 , 14 , 0 , 0 , 132.2 , 81 , 74 , 603 , 139 , 27 , 1 , 15 , 74 , 0 , 8 , 115 , 0 , 10 , 5.02 , 5.15 , 1.61 , 94.2 , 93.1 , -1.62 
52,홍성민,20N, 1.39 , 30 , 0 , 0 , 0 , 1 , 0 , 0 , 8 , 26.0 , 4 , 3 , 104 , 20 , 4 , 0 , 2 , 6 , 1 , 2 , 14 , 0 , 2 , 1.04 , 4.29 , 1.00 , 470.5 , 112.6 , 1.38 
53,안우진,20키, 1.38 , 42 , 0 , 0 , 0 , 2 , 3 , 2 , 13 , 36.0 , 12 , 12 , 143 , 20 , 2 , 0 , 3 , 17 , 1 , 0 , 41 , 0 , 2 , 3.00 , 3.69 , 1.03 , 157.3 , 124.9 , -0.80 
54,임기영,20K, 1.34 , 25 , 0 , 0 , 25 , 9 , 10 , 0 , 0 , 127.2 , 80 , 73 , 559 , 152 , 26 , 3 , 12 , 33 , 0 , 9 , 106 , 1 , 3 , 5.15 , 4.10 , 1.45 , 93.3 , 117.1 , -1.25 
55,함덕주,20두, 1.34 , 36 , 0 , 0 , 6 , 5 , 1 , 10 , 2 , 55.1 , 25 , 24 , 240 , 55 , 7 , 0 , 2 , 21 , 2 , 0 , 55 , 0 , 7 , 3.90 , 3.07 , 1.37 , 118.7 , 152.5 , -0.39 
56,김진영,20한, 1.33 , 58 , 0 , 0 , 0 , 3 , 3 , 0 , 8 , 54.0 , 26 , 20 , 231 , 48 , 4 , 0 , 6 , 22 , 0 , 3 , 56 , 0 , 5 , 3.33 , 4.32 , 1.30 , 141.8 , 110.9 , -0.11 
57,서폴드,20한, 1.30 , 28 , 1 , 1 , 28 , 10 , 13 , 0 , 0 , 165.0 , 107 , 90 , 734 , 203 , 30 , 3 , 19 , 42 , 0 , 13 , 97 , 0 , 10 , 4.91 , 4.88 , 1.49 , 96.3 , 98.2 , -1.50 
58,최동환,20L, 1.28 , 54 , 0 , 0 , 0 , 4 , 1 , 0 , 4 , 57.0 , 23 , 22 , 228 , 54 , 10 , 1 , 6 , 12 , 0 , 2 , 42 , 0 , 3 , 3.47 , 4.19 , 1.16 , 133.2 , 109.8 , -0.04 
59,정우람,20한, 1.23 , 50 , 0 , 0 , 0 , 3 , 5 , 16 , 0 , 54.1 , 29 , 29 , 230 , 58 , 11 , 1 , 4 , 12 , 1 , 5 , 53 , 0 , 2 , 4.80 , 3.45 , 1.29 , 98.4 , 138.6 , 1.02 
60,유원상,20K, 1.16 , 62 , 0 , 0 , 0 , 2 , 1 , 2 , 9 , 64.0 , 32 , 27 , 271 , 52 , 12 , 0 , 8 , 28 , 1 , 1 , 37 , 0 , 5 , 3.80 , 5.34 , 1.25 , 126.5 , 89.0 , 0.01 
61,김대우,20롯, 1.15 , 46 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 49.1 , 22 , 17 , 216 , 48 , 11 , 0 , 1 , 26 , 1 , 2 , 43 , 1 , 5 , 3.10 , 3.72 , 1.50 , 157.1 , 128.4 , -0.94 
62,이승호,20키, 1.14 , 24 , 0 , 0 , 23 , 6 , 6 , 0 , 0 , 118.2 , 71 , 67 , 517 , 132 , 20 , 1 , 15 , 40 , 0 , 5 , 73 , 1 , 3 , 5.08 , 5.11 , 1.45 , 92.9 , 90.8 , 0.23 
63,윌슨,20L, 1.10 , 25 , 0 , 0 , 25 , 10 , 8 , 0 , 0 , 144.2 , 81 , 71 , 628 , 161 , 23 , 2 , 13 , 39 , 0 , 8 , 109 , 1 , 3 , 4.42 , 4.19 , 1.38 , 104.8 , 110.2 , -0.67 
64,원종현,20N, 1.09 , 58 , 0 , 0 , 0 , 3 , 5 , 30 , 0 , 57.0 , 30 , 27 , 245 , 56 , 5 , 1 , 4 , 20 , 1 , 2 , 41 , 0 , 4 , 4.26 , 4.13 , 1.33 , 114.6 , 116.7 , 0.60 
65,서진용,20S, 1.09 , 63 , 0 , 0 , 0 , 2 , 7 , 8 , 12 , 61.0 , 33 , 28 , 264 , 52 , 4 , 1 , 11 , 34 , 1 , 1 , 56 , 0 , 7 , 4.13 , 5.74 , 1.41 , 116.8 , 85.4 , -1.57 
66,한현희,20키, 1.09 , 25 , 0 , 0 , 25 , 7 , 9 , 0 , 0 , 135.2 , 77 , 75 , 587 , 141 , 20 , 1 , 10 , 37 , 2 , 14 , 109 , 2 , 3 , 4.98 , 3.99 , 1.31 , 94.8 , 116.8 , 0.38 
67,임현준,20삼, 1.05 , 51 , 0 , 0 , 0 , 1 , 1 , 0 , 5 , 25.1 , 7 , 5 , 109 , 24 , 3 , 0 , 2 , 7 , 1 , 6 , 18 , 0 , 1 , 1.78 , 4.58 , 1.22 , 276.1 , 106.2 , 0.42 
68,오현택,20롯, 1.04 , 48 , 0 , 0 , 0 , 3 , 1 , 0 , 7 , 36.0 , 15 , 15 , 152 , 37 , 6 , 1 , 5 , 8 , 1 , 2 , 17 , 0 , 1 , 3.75 , 5.17 , 1.25 , 129.9 , 92.9 , 0.10 
69,이건욱,20S, 1.03 , 27 , 0 , 0 , 25 , 6 , 12 , 0 , 0 , 122.0 , 77 , 77 , 542 , 105 , 16 , 4 , 11 , 81 , 0 , 6 , 91 , 1 , 6 , 5.68 , 5.38 , 1.53 , 84.9 , 90.3 , -1.61 
70,정수민,20S, 1.01 , 3 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 15.2 , 2 , 2 , 61 , 11 , 4 , 0 , 0 , 5 , 0 , 0 , 11 , 0 , 0 , 1.15 , 3.11 , 1.02 , 419.8 , 154.1 , 0.56 
71,이인복,20롯, 0.97 , 47 , 0 , 0 , 1 , 1 , 4 , 0 , 2 , 45.1 , 22 , 20 , 199 , 57 , 9 , 0 , 2 , 12 , 1 , 1 , 21 , 0 , 2 , 3.97 , 4.00 , 1.52 , 122.7 , 119.7 , -1.01 
72,홍상삼,20K, 0.95 , 57 , 0 , 0 , 0 , 4 , 5 , 0 , 17 , 48.0 , 27 , 27 , 229 , 32 , 11 , 0 , 5 , 54 , 0 , 3 , 61 , 0 , 8 , 5.06 , 5.93 , 1.79 , 94.8 , 81.3 , -0.55 
73,홍건희,20K두, 0.93 , 60 , 0 , 0 , 0 , 3 , 4 , 1 , 8 , 68.2 , 39 , 38 , 299 , 74 , 14 , 3 , 8 , 22 , 0 , 5 , 60 , 0 , 3 , 4.98 , 4.50 , 1.40 , 93.6 , 102.8 , -1.10 
74,김태훈,20키, 0.91 , 53 , 0 , 0 , 2 , 7 , 0 , 0 , 10 , 64.0 , 34 , 30 , 281 , 70 , 14 , 1 , 1 , 22 , 1 , 5 , 40 , 0 , 3 , 4.22 , 3.73 , 1.44 , 111.8 , 127.0 , -0.30 
75,배재환,20N, 0.87 , 53 , 0 , 0 , 0 , 1 , 3 , 0 , 12 , 43.0 , 22 , 19 , 209 , 38 , 7 , 2 , 4 , 35 , 3 , 9 , 33 , 2 , 5 , 3.98 , 6.09 , 1.70 , 122.9 , 79.3 , -1.88 
76,송은범,20L, 0.85 , 56 , 0 , 0 , 1 , 4 , 2 , 2 , 6 , 56.0 , 29 , 28 , 247 , 66 , 8 , 1 , 4 , 19 , 1 , 3 , 28 , 0 , 2 , 4.50 , 4.61 , 1.52 , 102.8 , 101.0 , -0.15 
77,최지광,20삼, 0.85 , 51 , 0 , 0 , 0 , 1 , 3 , 0 , 15 , 44.1 , 24 , 24 , 199 , 34 , 5 , 0 , 2 , 31 , 4 , 3 , 45 , 0 , 5 , 4.87 , 4.14 , 1.47 , 100.7 , 116.9 , -0.54 
78,김윤수,20삼, 0.82 , 61 , 0 , 0 , 0 , 3 , 5 , 0 , 12 , 58.0 , 34 , 30 , 266 , 66 , 9 , 0 , 6 , 31 , 3 , 1 , 41 , 0 , 7 , 4.66 , 4.99 , 1.67 , 105.4 , 97.8 , -1.34 
79,최성훈,20L, 0.76 , 48 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 33.1 , 13 , 13 , 145 , 36 , 4 , 1 , 1 , 16 , 2 , 1 , 24 , 0 , 1 , 3.51 , 3.86 , 1.56 , 131.8 , 121.8 , -0.14 
80,박상원,20한, 0.76 , 62 , 0 , 0 , 0 , 1 , 0 , 1 , 10 , 58.0 , 35 , 30 , 256 , 62 , 14 , 1 , 8 , 20 , 4 , 4 , 52 , 1 , 2 , 4.66 , 4.59 , 1.41 , 101.6 , 104.2 , -0.34 
81,이정용,20L, 0.72 , 34 , 0 , 0 , 0 , 3 , 0 , 0 , 4 , 34.0 , 15 , 14 , 147 , 32 , 5 , 0 , 6 , 14 , 0 , 2 , 33 , 1 , 0 , 3.71 , 5.32 , 1.35 , 124.9 , 85.4 , 0.45 
82,김건국,20롯, 0.70 , 32 , 0 , 0 , 0 , 3 , 2 , 0 , 1 , 31.2 , 14 , 14 , 139 , 30 , 5 , 2 , 2 , 9 , 0 , 3 , 31 , 0 , 4 , 3.98 , 3.56 , 1.23 , 122.4 , 134.6 , -0.22 
83,이영준,20키, 0.70 , 52 , 0 , 0 , 0 , 2 , 3 , 0 , 25 , 40.0 , 21 , 21 , 176 , 41 , 3 , 0 , 5 , 19 , 0 , 2 , 32 , 1 , 3 , 4.73 , 5.16 , 1.50 , 99.9 , 89.8 , 0.70 
84,김범수,20한, 0.65 , 24 , 0 , 0 , 8 , 3 , 6 , 0 , 0 , 55.0 , 34 , 32 , 259 , 55 , 11 , 2 , 9 , 42 , 3 , 3 , 55 , 0 , 1 , 5.24 , 5.97 , 1.76 , 90.3 , 80.2 , -1.06 
85,고우석,20L, 0.65 , 40 , 0 , 0 , 0 , 0 , 4 , 17 , 1 , 41.2 , 22 , 19 , 183 , 37 , 9 , 0 , 2 , 19 , 1 , 2 , 51 , 0 , 5 , 4.10 , 3.17 , 1.34 , 112.8 , 146.5 , 0.38 
86,김민규,20두, 0.64 , 29 , 0 , 0 , 4 , 1 , 2 , 1 , 0 , 53.1 , 30 , 29 , 231 , 47 , 14 , 0 , 3 , 22 , 2 , 3 , 54 , 0 , 1 , 4.89 , 3.56 , 1.29 , 94.7 , 130.7 , 0.19 
87,임정호,20N, 0.64 , 69 , 0 , 0 , 0 , 2 , 2 , 0 , 22 , 41.0 , 23 , 21 , 175 , 32 , 3 , 0 , 3 , 20 , 0 , 7 , 38 , 0 , 0 , 4.61 , 4.63 , 1.27 , 106.0 , 104.2 , 1.35 
88,최원태,20키, 0.63 , 21 , 0 , 0 , 21 , 7 , 6 , 0 , 0 , 110.0 , 68 , 62 , 478 , 115 , 16 , 1 , 16 , 37 , 2 , 7 , 67 , 0 , 6 , 5.07 , 5.37 , 1.38 , 93.0 , 86.1 , -0.64 
89,김대우,20삼, 0.63 , 28 , 0 , 0 , 9 , 3 , 7 , 0 , 1 , 77.2 , 49 , 44 , 350 , 95 , 17 , 1 , 9 , 26 , 0 , 6 , 37 , 1 , 1 , 5.10 , 5.35 , 1.56 , 96.2 , 91.3 , -0.91 
90,김선기,20키, 0.63 , 25 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 22.0 , 8 , 5 , 92 , 17 , 3 , 0 , 1 , 8 , 0 , 4 , 11 , 0 , 4 , 2.05 , 4.78 , 1.14 , 230.7 , 98.7 , 0.21 
91,진해수,20L, 0.58 , 76 , 0 , 0 , 0 , 4 , 2 , 0 , 22 , 50.0 , 27 , 24 , 230 , 54 , 6 , 0 , 3 , 23 , 2 , 4 , 59 , 0 , 5 , 4.32 , 3.48 , 1.54 , 107.1 , 133.3 , -0.37 
92,임규빈,20키, 0.57 , 33 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 37.2 , 20 , 19 , 162 , 46 , 7 , 0 , 11 , 10 , 0 , 2 , 20 , 0 , 2 , 4.54 , 7.25 , 1.49 , 103.9 , 63.0 , -0.20 
93,이태양,20한S, 0.57 , 53 , 0 , 0 , 0 , 2 , 1 , 0 , 4 , 56.0 , 35 , 34 , 250 , 68 , 12 , 1 , 8 , 16 , 2 , 1 , 45 , 0 , 3 , 5.46 , 4.61 , 1.50 , 88.0 , 105.9 , 0.08 
94,허윤동,20삼, 0.56 , 11 , 0 , 0 , 11 , 2 , 1 , 0 , 0 , 45.0 , 26 , 24 , 204 , 43 , 10 , 0 , 4 , 31 , 0 , 2 , 18 , 1 , 0 , 4.80 , 6.11 , 1.64 , 102.2 , 79.3 , -0.21 
95,서준원,20롯, 0.56 , 31 , 0 , 0 , 20 , 7 , 6 , 0 , 0 , 107.2 , 71 , 62 , 480 , 130 , 18 , 0 , 16 , 31 , 1 , 5 , 60 , 0 , 3 , 5.18 , 5.35 , 1.50 , 94.0 , 89.8 , -1.13 
96,전유수,20K, 0.56 , 47 , 0 , 0 , 0 , 5 , 4 , 2 , 3 , 45.2 , 26 , 26 , 200 , 46 , 7 , 1 , 3 , 21 , 5 , 3 , 27 , 0 , 1 , 5.12 , 4.48 , 1.47 , 93.8 , 106.5 , 0.41 
97,최준용,20롯, 0.54 , 31 , 0 , 0 , 0 , 0 , 2 , 0 , 8 , 29.2 , 16 , 16 , 130 , 31 , 7 , 1 , 3 , 11 , 4 , 2 , 26 , 0 , 3 , 4.85 , 4.03 , 1.42 , 100.4 , 119.1 , -0.75 
